dataset,best_bin,top_k_bins,val_performance,val_auc,test_performance,test_auc,n_timespan_train
email-Enron,1024,"[1024, 32768, 8192]",1.3600792144156069,0.6050912734038538,5.249654651160912,0.8336428571428571,79056240001
contact-high-school,3168,"[3168, 1024, 512]",1.7397534565132593,0.628699696736305,2.20749832983967,0.7229958512985797,158401
contact-primary-school,80,"[80, 40, 32]",3.1356774570644985,0.7879381910595367,3.6022873208127133,0.8068099431362459,86021
email-Eu,1024,"[1024, 128, 256]",2.119186291479459,0.6753476430066017,1.9568778210914102,0.6760957822667315,31902945
coauth-MAG-Geology,9,"[9, 18, 10]",1.9009383170817575,0.6593703828419208,1.7409928559361878,0.6414477384306944,47
coauth-MAG-History,3,"[3, 9, 5]",2.6261356960452633,0.7136411452581624,5.052165294828463,0.7657540902691037,47
NDC-classes,10,"[10, 80, 32]",1.3827307349418543,0.6392396565735081,1.7574607091977033,0.6809767944491281,995414400001
NDC-substances,1,"[1, 4, 10]",1.1606762379568103,0.5892172477977343,2.637048628802986,0.6977057724738933,995414400001
threads-ask-ubuntu,160,"[160, 64, 32]",27.525855219462347,0.8752052761897826,12.78416651104808,0.8532371599303699,154696599081
tags-ask-ubuntu,1024,"[1024, 160, 64]",3.7162094590031356,0.6966591010801356,3.9076549158966034,0.6971367193329866,155679155728
